file,strategy,current_state,exit_code,total_states,time_seconds
../LTL-Synth/amba_decomposed_encode_6.tlsf,linear,3,132,6,1.453812837600708
../LTL-Synth/amba_decomposed_encode_6.tlsf,linear,4,132,6,2.3219070434570312
../LTL-Synth/amba_decomposed_encode_6.tlsf,linear,5,132,6,3.756263017654419
../LTL-Synth/amba_decomposed_encode_6.tlsf,linear,6,132,6,6.002295017242432
../LTL-Synth/amba_decomposed_encode_6.tlsf,expo,1,0,8,0.7695748805999756
../LTL-Synth/amba_decomposed_encode_6.tlsf,expo,2,0,8,0.9242119789123535
../LTL-Synth/amba_decomposed_encode_6.tlsf,expo,4,0,8,1.4435358047485352
../LTL-Synth/amba_decomposed_encode_6.tlsf,expo,8,0,8,2.8903229236602783
../LTL-Synth/amba_decomposed_encode_6.tlsf,hybrid,1,0,6,0.7722110748291016
../LTL-Synth/amba_decomposed_encode_6.tlsf,hybrid,2,0,6,0.9238049983978271
../LTL-Synth/amba_decomposed_encode_6.tlsf,hybrid,4,0,6,1.443816900253296
../LTL-Synth/amba_decomposed_encode_6.tlsf,hybrid,8,0,6,2.889364004135132
../LTL-Synth/amba_decomposed_encode_6.tlsf,hybrid,6,0,6,8.727139949798584
../LTL-Synth/amba_decomposed_encode_6.tlsf,hybrid,5,0,6,12.06645393371582
../LTL-Synth/amba_decomposed_encode_8.tlsf,linear,1,0,8,1.2556509971618652
../LTL-Synth/amba_decomposed_encode_8.tlsf,linear,2,0,8,1.5253679752349854
../LTL-Synth/amba_decomposed_encode_8.tlsf,linear,3,0,8,2.3172829151153564
../LTL-Synth/amba_decomposed_encode_8.tlsf,linear,4,0,8,3.8196449279785156
../LTL-Synth/amba_decomposed_encode_8.tlsf,linear,5,0,8,6.358886957168579
../LTL-Synth/amba_decomposed_encode_8.tlsf,linear,6,0,8,10.173058986663818
../LTL-Synth/amba_decomposed_encode_8.tlsf,linear,7,0,8,15.341997861862183
../LTL-Synth/amba_decomposed_encode_8.tlsf,linear,8,0,8,22.501353979110718
../LTL-Synth/amba_decomposed_encode_8.tlsf,expo,1,0,8,1.2320349216461182
../LTL-Synth/amba_decomposed_encode_8.tlsf,expo,2,0,8,1.4959089756011963
../LTL-Synth/amba_decomposed_encode_8.tlsf,expo,4,0,8,2.29253888130188
../LTL-Synth/amba_decomposed_encode_8.tlsf,expo,8,0,8,4.826453924179077
../LTL-Synth/amba_decomposed_encode_8.tlsf,hybrid,1,0,8,1.222795009613037
../LTL-Synth/amba_decomposed_encode_8.tlsf,hybrid,2,0,8,1.4964549541473389
../LTL-Synth/amba_decomposed_encode_8.tlsf,hybrid,4,0,8,2.257457971572876
../LTL-Synth/amba_decomposed_encode_8.tlsf,hybrid,8,0,8,4.796749114990234
../LTL-Synth/amba_decomposed_encode_8.tlsf,hybrid,6,0,8,14.365811109542847
../LTL-Synth/amba_decomposed_encode_8.tlsf,hybrid,7,0,8,19.510735988616943
../LTL-Synth/amba_decomposed_encode_8.tlsf,hybrid,8,0,8,26.672497987747192
../LTL-Synth/amba_decomposed_lock_10.tlsf,linear,1,0,3,42.10033988952637
../LTL-Synth/amba_decomposed_lock_10.tlsf,linear,2,0,3,42.224326848983765
../LTL-Synth/amba_decomposed_lock_10.tlsf,linear,3,0,3,42.56637787818909
../LTL-Synth/amba_decomposed_lock_10.tlsf,expo,1,0,4,42.1225471496582
../LTL-Synth/amba_decomposed_lock_10.tlsf,expo,2,0,4,42.251835107803345
../LTL-Synth/amba_decomposed_lock_10.tlsf,expo,4,0,4,42.60129117965698
../LTL-Synth/amba_decomposed_lock_10.tlsf,hybrid,1,0,3,41.8340950012207
../LTL-Synth/amba_decomposed_lock_10.tlsf,hybrid,2,0,3,41.95939302444458
../LTL-Synth/amba_decomposed_lock_10.tlsf,hybrid,4,0,3,42.30384111404419
../LTL-Synth/amba_decomposed_lock_10.tlsf,hybrid,3,0,3,43.40895104408264
../LTL-Synth/amba_decomposed_lock_2.tlsf,linear,1,0,3,0.6151928901672363
../LTL-Synth/amba_decomposed_lock_2.tlsf,linear,2,0,3,0.6539387702941895
../LTL-Synth/amba_decomposed_lock_2.tlsf,linear,3,0,3,0.7345948219299316
../LTL-Synth/amba_decomposed_lock_2.tlsf,expo,1,0,4,0.6638200283050537
../LTL-Synth/amba_decomposed_lock_2.tlsf,expo,2,0,4,0.6997740268707275
../LTL-Synth/amba_decomposed_lock_2.tlsf,expo,4,0,4,0.7748041152954102
../LTL-Synth/amba_decomposed_lock_2.tlsf,hybrid,1,0,3,0.6333291530609131
../LTL-Synth/amba_decomposed_lock_2.tlsf,hybrid,2,0,3,0.6663370132446289
../LTL-Synth/amba_decomposed_lock_2.tlsf,hybrid,4,0,3,0.7400760650634766
../LTL-Synth/amba_decomposed_lock_2.tlsf,hybrid,3,0,3,0.9617350101470947
../LTL-Synth/amba_decomposed_lock_4.tlsf,linear,1,0,3,0.6348748207092285
../LTL-Synth/amba_decomposed_lock_4.tlsf,linear,2,0,3,0.6677658557891846
../LTL-Synth/amba_decomposed_lock_4.tlsf,linear,3,0,3,0.7525668144226074
../LTL-Synth/amba_decomposed_lock_4.tlsf,expo,1,0,4,0.6564209461212158
../LTL-Synth/amba_decomposed_lock_4.tlsf,expo,2,0,4,0.6845359802246094
../LTL-Synth/amba_decomposed_lock_4.tlsf,expo,4,0,4,0.7695469856262207
../LTL-Synth/amba_decomposed_lock_4.tlsf,hybrid,1,0,3,0.6397221088409424
../LTL-Synth/amba_decomposed_lock_4.tlsf,hybrid,2,0,3,0.6695969104766846
../LTL-Synth/amba_decomposed_lock_4.tlsf,hybrid,4,0,3,0.7533891201019287
../LTL-Synth/amba_decomposed_lock_4.tlsf,hybrid,3,0,3,1.0338599681854248
../LTL-Synth/amba_decomposed_lock_6.tlsf,linear,1,0,3,0.7892880439758301
../LTL-Synth/amba_decomposed_lock_6.tlsf,linear,2,0,3,0.8404929637908936
../LTL-Synth/amba_decomposed_lock_6.tlsf,linear,3,0,3,0.9897820949554443
../LTL-Synth/amba_decomposed_lock_6.tlsf,expo,1,0,4,0.7973589897155762
../LTL-Synth/amba_decomposed_lock_6.tlsf,expo,2,0,4,0.8504078388214111
../LTL-Synth/amba_decomposed_lock_6.tlsf,expo,4,0,4,0.9965078830718994
../LTL-Synth/amba_decomposed_lock_6.tlsf,hybrid,1,0,3,0.8053479194641113
../LTL-Synth/amba_decomposed_lock_6.tlsf,hybrid,2,0,3,0.8578429222106934
../LTL-Synth/amba_decomposed_lock_6.tlsf,hybrid,4,0,3,1.0043480396270752
../LTL-Synth/amba_decomposed_lock_6.tlsf,hybrid,3,0,3,1.4471750259399414
../LTL-Synth/amba_decomposed_lock_8.tlsf,linear,1,0,3,2.3765640258789062
../LTL-Synth/amba_decomposed_lock_8.tlsf,linear,2,0,3,2.4583420753479004
../LTL-Synth/amba_decomposed_lock_8.tlsf,linear,3,0,3,2.6877079010009766
../LTL-Synth/amba_decomposed_lock_8.tlsf,expo,1,0,4,2.3878989219665527
../LTL-Synth/amba_decomposed_lock_8.tlsf,expo,2,0,4,2.4702999591827393
../LTL-Synth/amba_decomposed_lock_8.tlsf,expo,4,0,4,2.7028369903564453
../LTL-Synth/amba_decomposed_lock_8.tlsf,hybrid,1,0,3,2.336779832839966
../LTL-Synth/amba_decomposed_lock_8.tlsf,hybrid,2,0,3,2.4186978340148926
../LTL-Synth/amba_decomposed_lock_8.tlsf,hybrid,4,0,3,2.6550889015197754
../LTL-Synth/amba_decomposed_lock_8.tlsf,hybrid,3,0,3,3.450446844100952
../LTL-Synth/amba_decomposed_shift.tlsf,linear,1,0,2,0.5918431282043457
../LTL-Synth/amba_decomposed_shift.tlsf,linear,2,0,2,0.6029620170593262
../LTL-Synth/amba_decomposed_shift.tlsf,expo,1,0,2,0.6419169902801514
../LTL-Synth/amba_decomposed_shift.tlsf,expo,2,0,2,0.653303861618042
../LTL-Synth/amba_decomposed_shift.tlsf,hybrid,1,0,2,0.6380228996276855
../LTL-Synth/amba_decomposed_shift.tlsf,hybrid,2,0,2,0.6503200531005859
../LTL-Synth/amba_decomposed_shift.tlsf,hybrid,2,0,2,0.6723549365997314
